"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage change (yearly) All property types","Percentage change (yearly) Detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (yearly) Terraced houses","Percentage change (yearly) Flats and maisonettes","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-06,,quarterly,7.29,,,,,1981-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-07,,quarterly,4.77,,,,,1981-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-08,,quarterly,4.77,,,,,1981-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-09,,quarterly,4.77,,,,,1981-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-10,,quarterly,2.53,,,,,1981-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-11,,quarterly,2.53,,,,,1981-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1981-12,,quarterly,2.53,,,,,1981-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-01,,quarterly,-0.19,,,,,1982-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-02,,quarterly,-0.19,,,,,1982-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-03,,quarterly,-0.19,,,,,1982-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-04,,quarterly,1.42,,,,,1982-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-05,,quarterly,1.42,,,,,1982-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-06,,quarterly,1.42,,,,,1982-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-07,,quarterly,2.32,,,,,1982-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-08,,quarterly,2.32,,,,,1982-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-09,,quarterly,2.32,,,,,1982-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-10,,quarterly,5.88,,,,,1982-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-11,,quarterly,5.88,,,,,1982-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1982-12,,quarterly,5.88,,,,,1982-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-01,,quarterly,11.76,,,,,1983-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-02,,quarterly,11.76,,,,,1983-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-03,,quarterly,11.76,,,,,1983-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-04,,quarterly,10.8,,,,,1983-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-05,,quarterly,10.8,,,,,1983-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-06,,quarterly,10.8,,,,,1983-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-07,,quarterly,12.62,,,,,1983-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-08,,quarterly,12.62,,,,,1983-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-09,,quarterly,12.62,,,,,1983-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-10,,quarterly,11.91,,,,,1983-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-11,,quarterly,11.91,,,,,1983-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1983-12,,quarterly,11.91,,,,,1983-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-01,,quarterly,9.57,,,,,1984-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-02,,quarterly,9.57,,,,,1984-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-03,,quarterly,9.57,,,,,1984-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-04,,quarterly,9.24,,,,,1984-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-05,,quarterly,9.24,,,,,1984-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-06,,quarterly,9.24,,,,,1984-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-07,,quarterly,8.87,,,,,1984-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-08,,quarterly,8.87,,,,,1984-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-09,,quarterly,8.87,,,,,1984-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-10,,quarterly,9.6,,,,,1984-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-11,,quarterly,9.6,,,,,1984-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1984-12,,quarterly,9.6,,,,,1984-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-01,,quarterly,8.73,,,,,1985-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-02,,quarterly,8.73,,,,,1985-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-03,,quarterly,8.73,,,,,1985-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-04,,quarterly,9.23,,,,,1985-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-05,,quarterly,9.23,,,,,1985-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-06,,quarterly,9.23,,,,,1985-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-07,,quarterly,7.41,,,,,1985-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-08,,quarterly,7.41,,,,,1985-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-09,,quarterly,7.41,,,,,1985-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-10,,quarterly,9.49,,,,,1985-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-11,,quarterly,9.49,,,,,1985-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1985-12,,quarterly,9.49,,,,,1985-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-01,,quarterly,11.68,,,,,1986-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-02,,quarterly,11.68,,,,,1986-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-03,,quarterly,11.68,,,,,1986-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-04,,quarterly,12.68,,,,,1986-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-05,,quarterly,12.68,,,,,1986-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-06,,quarterly,12.68,,,,,1986-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-07,,quarterly,15.17,,,,,1986-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-08,,quarterly,15.17,,,,,1986-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-09,,quarterly,15.17,,,,,1986-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-10,,quarterly,14.67,,,,,1986-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-11,,quarterly,14.67,,,,,1986-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-12,,quarterly,14.67,,,,,1986-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-01,,quarterly,15.69,,,,,1987-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-02,,quarterly,15.69,,,,,1987-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-03,,quarterly,15.69,,,,,1987-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-04,,quarterly,15.63,,,,,1987-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-05,,quarterly,15.63,,,,,1987-05-01
