Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-07,,quarterly,33915,,,,,01/07/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-08,,quarterly,33915,,,,,01/08/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-09,,quarterly,33915,,,,,01/09/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-10,,quarterly,34931,,,,,01/10/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-11,,quarterly,34931,,,,,01/11/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1986-12,,quarterly,34931,,,,,01/12/1986
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-01,,quarterly,35946,,,,,01/01/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-02,,quarterly,35946,,,,,01/02/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-03,,quarterly,35946,,,,,01/03/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-04,,quarterly,37571,,,,,01/04/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-05,,quarterly,37571,,,,,01/05/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-06,,quarterly,37571,,,,,01/06/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-07,,quarterly,39398,,,,,01/07/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-08,,quarterly,39398,,,,,01/08/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-09,,quarterly,39398,,,,,01/09/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-10,,quarterly,41732,,,,,01/10/1987
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1987-11,,quarterly,41732,,,,,01/11/1987
